,Image,Rank,Name,Net_Worth,Age,Source,Country,internal_link,Industry
0,https://specials-images.forbesimg.com/imageserve/62d700cd6094d2c180f269b9/416x416.jpg?background=000000&cropX1=0&cropX2=959&cropY1=0&cropY2=959,1,Elon Musk,$242.7 B,52,"Tesla, SpaceX",United States,https://www.forbes.com/profile/elon-musk/?list=rtb/,Automotive
1,https://specials-images.forbesimg.com/imageserve/6067bcb1bfd36aed75c0c223/416x416.jpg?background=000000&cropX1=19&cropX2=1080&cropY1=19&cropY2=1080,41,Robin Zeng,$32.7 B,54,Batteries,Hong Kong,https://www.forbes.com/profile/robin-zeng/?list=rtb/,Automotive
2,https://specials-images.forbesimg.com/imageserve/f257c2f96ce1171be43e685e6d8f9fa3/416x416.jpg?background=000000&cropX1=124&cropX2=725&cropY1=92&cropY2=693,57,Stefan Quandt,$26.6 B,57,BMW,Germany,https://www.forbes.com/profile/stefan-quandt/?list=rtb/,Automotive
3,https://specials-images.forbesimg.com/imageserve/605e281e4f49584f571c9c42/416x416.jpg?background=000000&cropX1=0&cropX2=1080&cropY1=0&cropY2=1080,61,Susanne Klatten,$25.3 B,61,"BMW, pharmaceuticals",Germany,https://www.forbes.com/profile/susanne-klatten/?list=rtb/,Automotive
4,//specials-images.forbesimg.com/imageserve/5dc0d6ac5e338c00066239e2/416x416.jpg?background=000000&cropX1=2491&cropX2=3773&cropY1=847&cropY2=2130,84,Wang Chuanfu,$19.8 B,57,"Batteries, automobiles",China,https://www.forbes.com/profile/wang-chuanfu/?list=rtb/,Automotive
5,https://specials-images.forbesimg.com/imageserve/5bcf84b931358e5b43344465/416x416.jpg?background=000000&cropX1=1390&cropX2=2922&cropY1=440&cropY2=1970,94,Li Shufu,$18.1 B,60,Automobiles,China,https://www.forbes.com/profile/li-shufu/?list=rtb/,Automotive
6,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,118,Huang Shilin,$14.9 B,56,Batteries,China,https://www.forbes.com/profile/huang-shilin/?list=rtb/,Automotive
7,https://specials-images.forbesimg.com/imageserve/6050f48ca1ab099ed6e290cc/416x416.jpg?background=000000&cropX1=0&cropX2=800&cropY1=0&cropY2=800,127,Lu Xiangyang,$13.6 B,60,"Automobiles, batteries",China,https://www.forbes.com/profile/lu-xiangyang/?list=rtb/,Automotive
8,//specials-images.forbesimg.com/imageserve/5e790bb1c7b02d000666f9c1/416x416.jpg?background=000000&cropX1=1605&cropX2=3975&cropY1=86&cropY2=2456,140,Wei Jianjun & family,$12.3 B,59,Automobiles,China,https://www.forbes.com/profile/wei-jianjun/?list=rtb/,Automotive
9,//specials-images.forbesimg.com/imageserve/5d8a654022254b0008e15acc/416x416.jpg?background=000000&cropX1=261&cropX2=2362&cropY1=268&cropY2=2372,143,Shahid Khan,$11.9 B,72,Auto parts,United States,https://www.forbes.com/profile/shahid-khan/?list=rtb/,Automotive
10,NaN,NaN,NaN,NaN,NaN,NaN,NaN,,Automotive
11,//specials-images.forbesimg.com/imageserve/5e762609c7b02d000666c810/416x416.jpg?background=000000&cropX1=605&cropX2=1884&cropY1=0&cropY2=1279,218,Georg Schaeffler,$9.3 B,58,Auto parts,Germany,https://www.forbes.com/profile/georg-schaeffler/?list=rtb/,Automotive
12,//specials-images.forbesimg.com/imageserve/5ab944eda7ea432fbc1d2d9c/416x416.jpg?background=000000&cropX1=0&cropX2=400&cropY1=0&cropY2=400,300,Wu Jianshu,$7.6 B,59,Auto parts,Hong Kong,https://www.forbes.com/profile/wu-jianshu/?list=rtb/,Automotive
13,//specials-images.forbesimg.com/imageserve/5e76d9e2d8e1ae0007b7266c/416x416.jpg?background=000000&cropX1=1231&cropX2=4241&cropY1=0&cropY2=3008,392,Piero Ferrari,$6.6 B,78,Automobiles,Italy,https://www.forbes.com/profile/piero-ferrari/?list=rtb/,Automotive
14,https://specials-images.forbesimg.com/imageserve/6182c14679844b6688e9678e/416x416.jpg?background=000000&cropX1=1460&cropX2=2555&cropY1=493&cropY2=1587,394,Li Ping,$6.6 B,55,Batteries,Hong Kong,https://www.forbes.com/profile/li-ping-1/?list=rtb/,Automotive
