,female_name
0,Francoise Bettencourt Meyers & family
1,Alice Walton
2,Julia Koch & family
3,Jacqueline Mars
4,Miriam Adelson & family
5,MacKenzie Scott
6,Rafaela Aponte-Diamant
7,Gina Rinehart
8,Susanne Klatten
9,Iris Fontbona & family
10,
11,Abigail Johnson
12,Savitri Jindal & family
13,Vicky Safra & family
14,Beate Heister
15,Renata Kellnerova & family
16,Diane Hendricks
17,Charlene de Carvalho-Heineken & family
18,Laurene Powell Jobs & family
19,Kwong Siu-hing
20,Christy Walton
21,
22,Trudy Cathy White
23,Judy Love & family
24,Tanya Saadé Zeenny
25,Marijke Mars
26,Victoria Mars
27,Pamela Mars
28,Valerie Mars
29,Ann Walton Kroenke
30,Antonia Ax:son Johnson & family
31,Tatyana Bakalchuk
32,
33,Carrie Perrodo & family
34,Nancy Walton Laurie
35,Marie-Hélène Habert-Dassault
36,Kirsten Rausing
37,Blair Parry-Okeden
38,Francine von Finck & family
39,Wu Yajun
40,Marie Besnier Beauvalot
41,Elisabeth DeLuca & family
42,Wang Laichun
43,
44,Sandra Ortega Mera
45,Ronda Stryker
46,Denise Coates
47,Tamara Gustavson
48,Judy Faulkner
49,Rohiqa Cyrus Mistry
50,Zheng Shuliang & family
51,Zhong Huijuan
52,Randa Duncan Williams
53,Milane Frantz
54,
55,Dannine Avara
56,Nadia Thiele
57,Edythe Broad & family
58,Massimiliana Landini Aleotti & family
59,Agnete Kirk Thinggaard
60,Sofie Kirk Kristiansen
61,Magdalena Martullo-Blocher
62,Rahel Blocher
63,Pauline MacMillan Keinath
64,Melinda French Gates
65,
66,Annette Lerner & family
67,Karen Pritzker
68,Maria Asuncion Aramburuzabala & family
69,Rekha Jhunjhunwala
70,Yang Huiyan & family
71,Zhou Qunfei
72,Miuccia Prada
73,Hong Ra-hee
74,Maria Angelicoussis
75,Katharine Rayner
76,
77,Margaretta Taylor
78,Renate Reimann-Haas
79,Elizabeth Johnson
80,Lynda Resnick
81,Dagmar Dolby & family
82,Denise York & family
83,Jian Jun
84,Dona Bertarelli
85,Janice McNair
86,Helen Johnson-Leipold
87,
88,Winifred J. Marquart
89,Danielle Bellon & family
90,Thai Lee
91,Maria Fernanda Amorim & family
92,Gayle Benson
93,Alexandra Schoerghuber & family
94,Dinara Kulibaeva
95,Johnelle Hunt
96,Zhao Yan
97,Shari Arison
98,
99,Margot Birmingham Perot
100,Jean (Gigi) Pritzker
101,Vinod Rai Gupta
102,Lynsi Snyder
103,Chan Laiwa & family
104,Alessandra Garavoglia
105,Gwendolyn Sontheim Meyer
106,Zhu Yan & family
107,Gail Miller
108,Jane Lauder
109,
110,Zeng Fangqin
111,Marian Ilitch
112,Fan Hongwei
113,Julia Oetker
114,Somurai Jaruphnit
115,Dewi Kam
116,Marisa Del Vecchio
117,Nicoletta Zampillo
118,Paola Del Vecchio
119,Marianne Liebmann
120,
121,Pansy Ho
122,Mary Alice Dorrance Malone
123,Lee Boo-jin
124,Melanie Perkins
125,Cheng Xue
126,Elizabeth Uihlein
127,Pat Stryker
128,Margarita Louis-Dreyfus & family
129,Leena Tewari
130,Beatriz Davila de Santo Domingo
131,
132,Martha Ingram & family
133,Giuliana Benetton
134,Lee Seo-hyun
135,Isabella Seràgnoli
136,Lynn Schusterman
137,Peggy Cherng
138,Susan Carol Holland
139,Penny Pritzker
140,Maja Oeri
141,Rita Tong Liu
142,
143,Friede Springer
144,Meg Whitman
145,Karen Virginia Beckmann Legoretta
146,Katharina Otto-Bernstein
147,Smita Crishna-Godrej
148,Eva Maria Bucher-Haefner
149,Gudrun Heine
150,Sybill Storz
151,Chan Tan Ching-fen
152,Anne Beaufour
153,
154,Maritsa Lazari & family
155,Eleanor Butt Crook & family
156,Karin Sartorius-Herbst
157,Eren Ozmen
158,Catheline Perier D'Ieteren
159,Maria Del Pino
160,Fan Daidi
161,Catherine Lozick
162,Susan Alfond
163,Julia Thiele-Schuerhoff
164,
165,Maggie Hardy Knox
166,Maren Otto
167,Anna Katharina Viessmann
168,Yvonne Bauer
169,Alicia Koplowitz
170,Falguni Nayar
171,Angela Leong
172,Aerin Lauder
173,Semahat Sevim Arsel
174,Miriam Baumann-Blocher
175,
176,Lottie Tham & family
177,Yoo Jung-hyun
178,Ipek Kirac
179,Oprah Winfrey
180,Marina Prada
181,Jayshree Ullal
182,Maria-Elisabeth Schaeffler-Thumann
183,Kiran Mazumdar-Shaw
184,Christiane Schoeller
185,Pan Dong
186,
187,Doris Fisher
188,Qiu Minxiu
189,Filiz Sahenk
190,Fiona Geminder
191,Sol Daurella
192,Melissa Ma
193,Teresita Sy-Coson
194,Chu Lam Yiu
195,Ulrike Baro
196,Lam Wai-ying
197,
198,Hortensia Herrero
199,Radha Vembu
200,Elaine Wynn
201,Chen Jinxia
202,Jane Goldman
203,Thi Phuong Thao Nguyen
204,Anu Aga
205,Caroline Hagen Kjos
206,Maria Franca Fissolo
207,Dominika Kulczyk
208,
209,Amy Goldman Fowler
210,Anita Zucker
211,Ginia Rinehart
212,Sylvia Stroeher
213,Diane Kemper
214,Linda Pritzker
215,Bianca Rinehart
216,Hope Welker
217,Katarina Martinson
218,Jennifer Pritzker
219,
220,Elizabeth Sy
221,Ana Lucia de Mattos Barretto Villela
222,Heloise Pratt
223,Mrudula Parekh
224,Barbara Tyson
225,Li Haiyan
226,Lu Yiwen
227,Amy Wyss
228,Chen Qiongxiang
229,Charlotte Colket Weber
230,
231,Sabrina Benetton
232,Alexandra Daitch
233,Lucy Stitzer
234,Sarah MacMillan
235,Maike Oberwelland-Height
236,Yu Lili
