,name,Wealth_History,personal_data
0,Elon Musk,"[{""percent"":3.8356164383561646,""worth"":""$8.4B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":5.47945205479452,""worth"":""$12B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":4.885844748858448,""worth"":""$10.7B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":6.347031963470319,""worth"":""$13.9B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":9.08675799086758,""worth"":""$19.9B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":10.182648401826484,""worth"":""$22.3B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":11.232876712328768,""worth"":""$24.6B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":68.94977168949772,""worth"":""$151B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$219B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":82.1917808219178,""worth"":""$180B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age52Source of WealthTesla, SpaceX, Self MadeSelf-Made Score8ResidenceAustin, TexasCitizenshipUnited StatesMarital StatusSingleChildren10EducationBachelor of Arts/Science, University of Pennsylvania"
1,Bernard Arnault & family,"[{""percent"":15.876777251184834,""worth"":""$33.5B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":17.6303317535545,""worth"":""$37.2B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":16.113744075829384,""worth"":""$34B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":19.66824644549763,""worth"":""$41.5B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":34.12322274881517,""worth"":""$72B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":36.018957345971565,""worth"":""$76B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":36.018957345971565,""worth"":""$76B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":71.09004739336493,""worth"":""$150B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":74.88151658767772,""worth"":""$158B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$211B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age74Source of WealthLVMHResidenceParis, FranceCitizenshipFranceMarital StatusMarriedChildren5EducationBachelor of Arts/Science, Ecole Polytechnique de Paris"
2,Jeff Bezos,"[{""percent"":18.07909604519774,""worth"":""$32B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":19.661016949152543,""worth"":""$34.8B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":25.536723163841806,""worth"":""$45.2B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":41.12994350282486,""worth"":""$72.8B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":63.2768361581921,""worth"":""$112B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":74.01129943502825,""worth"":""$131B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":63.84180790960452,""worth"":""$113B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":100,""worth"":""$177B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":96.61016949152543,""worth"":""$171B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":64.40677966101694,""worth"":""$114B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age59Source of WealthAmazon, Self MadeSelf-Made Score8ResidenceMedina, WashingtonCitizenshipUnited StatesMarital StatusEngagedChildren4EducationBachelor of Arts/Science, Princeton University"
3,Larry Ellison,"[{""percent"":44.85981308411215,""worth"":""$48B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":50.747663551401864,""worth"":""$54.3B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":40.74766355140187,""worth"":""$43.6B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":48.78504672897196,""worth"":""$52.2B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":54.67289719626168,""worth"":""$58.5B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":58.41121495327103,""worth"":""$62.5B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":55.140186915887845,""worth"":""$59B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":86.91588785046729,""worth"":""$93B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":99.06542056074767,""worth"":""$106B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$107B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age78Source of WealthOracle, Self MadeSelf-Made Score9ResidenceLanai, HawaiiCitizenshipUnited StatesMarital StatusIn RelationshipChildren4EducationDrop Out, University of Chicago; Drop Out, University of Illinois, Urbana-Champaign"
4,Bill Gates,"[{""percent"":58.91472868217055,""worth"":""$76B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":61.395348837209305,""worth"":""$79.2B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":58.139534883720934,""worth"":""$75B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":66.66666666666666,""worth"":""$86B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":69.76744186046511,""worth"":""$90B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":74.8062015503876,""worth"":""$96.5B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":75.96899224806202,""worth"":""$98B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":96.12403100775194,""worth"":""$124B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$129B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":80.62015503875969,""worth"":""$104B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age67Source of WealthMicrosoft, Self MadeSelf-Made Score8ResidenceMedina, WashingtonCitizenshipUnited StatesMarital StatusDivorcedChildren3EducationDrop Out, Harvard University"
5,Warren Buffett,"[{""percent"":49.32203389830509,""worth"":""$58.2B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":61.610169491525426,""worth"":""$72.7B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":51.52542372881356,""worth"":""$60.8B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":64.0677966101695,""worth"":""$75.6B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":71.1864406779661,""worth"":""$84B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":69.91525423728814,""worth"":""$82.5B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":57.20338983050848,""worth"":""$67.5B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":81.35593220338984,""worth"":""$96B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$118B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":89.83050847457628,""worth"":""$106B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age92Source of WealthBerkshire Hathaway, Self MadeSelf-Made Score8ResidenceOmaha, NebraskaCitizenshipUnited StatesMarital StatusWidowed, RemarriedChildren3EducationMaster of Science, Columbia University; Bachelor of Arts/Science, University of Nebraska Lincoln"
6,Mark Zuckerberg,"[{""percent"":29.381443298969074,""worth"":""$28.5B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":34.43298969072165,""worth"":""$33.4B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":45.97938144329897,""worth"":""$44.6B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":57.73195876288659,""worth"":""$56B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":73.19587628865979,""worth"":""$71B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":64.22680412371135,""worth"":""$62.3B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":56.391752577319586,""worth"":""$54.7B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":100,""worth"":""$97B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":69.38144329896907,""worth"":""$67.3B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":66.39175257731958,""worth"":""$64.4B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age39Source of WealthFacebook, Self MadeSelf-Made Score8ResidencePalo Alto, CaliforniaCitizenshipUnited StatesMarital StatusMarriedChildren3EducationDrop Out, Harvard University"
7,Steve Ballmer,"[{""percent"":21.11597374179431,""worth"":""$19.3B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":23.522975929978116,""worth"":""$21.5B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":25.711159737417944,""worth"":""$23.5B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":32.822757111597376,""worth"":""$30B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":42.01312910284464,""worth"":""$38.4B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":45.076586433260395,""worth"":""$41.2B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":57.65864332603938,""worth"":""$52.7B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":75.16411378555799,""worth"":""$68.7B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$91.4B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":88.29321663019694,""worth"":""$80.7B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age67Source of WealthMicrosoft, Self MadeSelf-Made Score6ResidenceHunts Point, WashingtonCitizenshipUnited StatesMarital StatusMarriedChildren3EducationBachelor of Arts/Science, Harvard University; Drop Out, Stanford University"
8,Carlos Slim Helu & family,"[{""percent"":77.41935483870968,""worth"":""$72B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":82.9032258064516,""worth"":""$77.1B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":53.76344086021505,""worth"":""$50B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":58.602150537634415,""worth"":""$54.5B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":72.15053763440861,""worth"":""$67.1B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":68.81720430107528,""worth"":""$64B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":56.02150537634408,""worth"":""$52.1B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":67.52688172043011,""worth"":""$62.8B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":87.31182795698925,""worth"":""$81.2B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":100,""worth"":""$93B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age83Source of WealthTelecom, Self MadeResidenceMexico City, MexicoCitizenshipMexicoMarital StatusWidowedChildren6EducationBachelor of Arts/Science, Universidad Nacional Autonoma de Mexico"
9,Larry Page,"[{""percent"":29.099099099099103,""worth"":""$32.3B"",""name"":""Billionaires"",""date"":""March 2014""},{""percent"":26.756756756756754,""worth"":""$29.7B"",""name"":""Billionaires"",""date"":""March 2015""},{""percent"":31.71171171171171,""worth"":""$35.2B"",""name"":""Billionaires"",""date"":""March 2016""},{""percent"":36.666666666666664,""worth"":""$40.7B"",""name"":""Billionaires"",""date"":""March 2017""},{""percent"":43.96396396396396,""worth"":""$48.8B"",""name"":""Billionaires"",""date"":""March 2018""},{""percent"":45.765765765765764,""worth"":""$50.8B"",""name"":""Billionaires"",""date"":""March 2019""},{""percent"":45.85585585585585,""worth"":""$50.9B"",""name"":""Billionaires"",""date"":""April 2020""},{""percent"":82.43243243243244,""worth"":""$91.5B"",""name"":""Billionaires"",""date"":""April 2021""},{""percent"":100,""worth"":""$111B"",""name"":""Billionaires"",""date"":""April 2022""},{""percent"":71.35135135135135,""worth"":""$79.2B"",""name"":""Billionaires"",""date"":""April 2023""}]","Age50Source of WealthGoogle, Self MadeSelf-Made Score8ResidencePalo Alto, CaliforniaCitizenshipUnited StatesMarital StatusMarriedChildren1EducationMaster of Science, Stanford University; Bachelor of Arts/Science, University of Michigan"
